Notes: perfectly expected behaviour.
* messages are in order within the qos band, even if slightly shuffled compared
  to original publish order.  (totally correct behaviour)
* all messages are received!
* cpu usage stays low, and doesn't increase over time on either broker or client


batch:msg=[004945:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004944:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004946:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004947:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004949:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:39 +0000
